Date Open High Low Close Volume Adjusted DeltaVolPerc DeltaVolElder OBV VolSize RSI14 RSI14L1 RSI14L2 DeltaRSI14 DeltaRSI14L2 DiffRSI14L1 DiffRSI14L2 MA10 DeltaMA10 MA10L1 MA20 DeltaMA20 DeltaMA20M10 MACD Signal DeltaMACD DeltaSignal GapUp GapDown ReturnL1 ReturnL2 Return Decision
2010-02-08 6.988929 7.067143 6.928571 6.932857 478270800 5.952664 -0.437531488634455 low 275981.02 medium 42.6058174400113 43.7259774665875 39.9982996181182 -0.0256177240962111 0.0651907167751674 -1.12016002657618 2.60751782189303 7.0593572 -0.00450752373869939 7.0913215 7.24307144999999 -0.00438391842005319 0.183714249999987 -1.47383203769978 -0.804123405104913 0.0692272029135168 0.262962376406527 FALSE FALSE 0.0177556875133129 -0.0360386695987286 -0.0068556024498353 Up
2010-02-09 7.015 7.053571 6.955357 7.006786 632886800 6.016141 0.323281287504903 low 282309.888 medium 44.9518670016404 42.6058174400113 43.7259774665875 0.0550640664254921 0.0280357262679774 2.34604956162917 1.22588953505299 7.0245358 -0.00493265874122366 7.0593572 7.21821429999999 -0.00343185210467583 0.193678499999987 -1.44937191709704 -0.933173107503339 -0.0165962741866555 0.160484947433645 TRUE FALSE -0.0068556024498353 0.0177556875133129 0.0106635691461687 Down
2010-02-10 6.996071 7.021429 6.937857 6.968571 370361600 5.983329 -0.41480593369936 low 278606.272 medium 43.951753636521 44.9518670016404 42.6058174400113 -0.0222485389779911 0.0315904324193468 -1.00011336511947 1.3459361965097 6.9789643 -0.00648747494460764 7.0245358 7.19571429999999 -0.00311711443646123 0.216749999999986 -1.45712491959399 -1.03796346992147 0.00534921534320526 0.112294665990206 FALSE TRUE 0.0106635691461687 -0.0068556024498353 -0.00545399845235749 Up
2010-02-11 6.96 7.133929 6.930714 7.095357 550345600 6.092191 0.485968307729527 low 284109.728 medium 48.0790552126996 43.951753636521 44.9518670016404 0.0939052764608949 0.0695674822793246 4.12730157617865 3.12718821105918 6.97675 -0.000317282035674278 6.9789643 7.17432144999999 -0.00297299880291243 0.197571449999988 -1.30374110376287 -1.09111899668975 -0.10526469883849 0.0512113656295646 FALSE FALSE -0.00545399845235749 0.0106635691461687 0.01819397405867 Up
2010-02-12 7.075357 7.201429 6.982143 7.156429 655468800 6.144627 0.191013065244821 medium 290664.416 medium 49.9894424002314 48.0790552126996 43.951753636521 0.0397342913474559 0.137370827422311 1.91038718753182 6.03768876371047 7.0064643 0.00425904611746172 6.97675 7.15816074999999 -0.00225257539861144 0.151696449999987 -1.0998309252667 -1.09286138240514 -0.156403888707384 0.00159687964436148 FALSE FALSE 0.01819397405867 -0.00545399845235749 0.00860731884244869 Up
2010-02-16 7.212143 7.274643 7.197143 7.264286 543737600 6.237236 -0.170459982229513 medium 296101.792 medium 53.2602575617241 49.9894424002314 48.0790552126996 0.0654301189300223 0.107764229685942 3.27081516149264 5.18120234902447 7.0374286 0.00441939024794561 7.0064643 7.15364289999999 -0.000631146764900474 0.116214299999988 -0.806373094572743 -1.03556372483866 -0.266820857599357 -0.0524290257565695 TRUE FALSE 0.00860731884244869 0.01819397405867 0.0150713435429877 Down
2010-02-17 7.2925 7.296786 7.173571 7.233929 436396800 6.21117 -0.197412869737167 low 291737.824 medium 52.2249543248361 53.2602575617241 49.9894424002314 -0.0194385698508532 0.0447196811419982 -1.03530323688801 2.23551192460464 7.0613215 0.00339511792702236 7.0374286 7.13133934999999 -0.00311778911972264 0.0700178499999868 -0.601616842218733 -0.948774348314674 -0.253922475504345 -0.0838088226173692 FALSE FALSE 0.0150713435429877 0.00860731884244869 -0.00417893788873406 Up
2010-02-18 7.201071 7.281786 7.175714 7.2475 422825200 6.222822 -0.0310992197926291 low 295966.076 medium 52.667907376933 52.2249543248361 53.2602575617241 0.00848163598845374 -0.0111218047360105 0.442953052096883 -0.592350184791123 7.0745358 0.00187136359674325 7.0613215 7.11562504999999 -0.00220355521294901 0.0410892499999855 -0.419357026234224 -0.842890883898584 -0.302949989419086 -0.111600260487831 FALSE FALSE -0.00417893788873406 0.0150713435429877 0.00187602062447665 Down
2010-02-19 7.209286 7.257143 7.1825 7.2025 415469600 6.184185 -0.0173963141269726 low 291811.38 medium 50.980025754169 52.667907376933 52.2249543248361 -0.0320476302710139 -0.0238378106168115 -1.68788162276395 -1.24492857066707 7.1088929 0.00485644584624186 7.0745358 7.10419649999999 -0.00160612032248673 -0.00469640000001448 -0.322119138091947 -0.738736534737257 -0.231873754484242 -0.12356800998913 FALSE FALSE 0.00187602062447665 -0.00417893788873406 -0.00620903759917212 Down
2010-02-22 7.226429 7.232143 7.113929 7.157857 390563600 6.145854 -0.0599466242536157 low 287905.744 medium 49.2923050051765 50.980025754169 52.667907376933 -0.033105529548589 -0.0640922060487036 -1.68772074899247 -3.37560237175642 7.1266072 0.00249185073529519 7.1088929 7.10896434999999 0.000671131492491848 -0.0176428500000139 -0.29204895866245 -0.649399019522296 -0.0933511110442446 -0.120932850907036 FALSE FALSE -0.00620903759917212 0.00187602062447665 -0.00619826449149598 Down
