Date Open High Low Close Volume Adjusted DeltaVolPerc DeltaVolElder OBV VolSize RSI14 RSI14L1 RSI14L2 DeltaRSI14 DeltaRSI14L2 DiffRSI14L1 DiffRSI14L2 MA10 DeltaMA10 MA10L1 MA20 DeltaMA20 DeltaMA20M10 MACD Signal DeltaMACD DeltaSignal GapUp GapDown ReturnL1 ReturnL2 Return Decision
2010-08-17 3.792 3.88 3.756 3.83 2239500 3.83 -0.0780156442980651 low -643.14 low 42.5161333804307 40.267051251178 37.4414052608708 0.0558541551807065 0.135537864676875 2.24908212925276 5.07472811955994 3.8336 -0.0143973673385439 3.8896 3.9957 -0.00286983429826309 0.162099999999997 -1.3078110545911 0.457984033317093 -0.0486518734380787 -0.490807950720323 TRUE FALSE 0.0251091703056768 0.0409090909090909 0.0197018104366348 Down
2010-08-18 3.918 3.918 3.72 3.754 3006500 3.754 0.342487162313016 medium -673.205 low 40.816355625002 42.5161333804307 40.267051251178 -0.0399795941041773 0.0136415346233728 -1.69977775542868 0.549304373824071 3.7838 -0.0129904006677797 3.8336 3.9812 -0.00362890106864868 0.197399999999998 -1.39848404854231 0.0866904169452114 0.0693318760633681 -0.810713014780605 FALSE FALSE 0.0197018104366348 0.0251091703056768 -0.0198433420365535 Up
2010-08-19 3.708 3.85 3.666 3.758 2895500 3.758 -0.0369200066522535 medium -644.25 low 40.9501654947031 40.816355625002 42.5161333804307 0.00327833947083517 -0.0368323213147218 0.133809869701089 -1.56596788572759 3.7506 -0.00877424811036533 3.7838 3.9591 -0.00555109012358094 0.208499999999998 -1.44610507305496 -0.219868681054823 0.0340518896602947 -3.53625128131268 FALSE FALSE -0.0198433420365535 0.0197018104366348 0.00106553010122536 Up
2010-08-20 3.73 3.822 3.702 3.82 1480000 3.82 -0.488862027283716 low -629.45 low 43.0976642406686 40.9501654947031 40.816355625002 0.052441759881123 0.0558920212432966 2.14749874596547 2.28130861566656 3.7408 -0.00261291526689058 3.7506 3.9372 -0.00553156020307646 0.196399999999998 -1.33805646839871 -0.4435062385236 -0.0747169805773483 1.01714148825505 FALSE FALSE 0.00106553010122536 -0.0198433420365535 0.0164981373070782 Up
2010-08-23 3.818 4.078 3.8 4.026 5440500 4.026 2.67601351351351 high -575.045 low 49.6497033622221 43.0976642406686 40.9501654947031 0.152027708159896 0.212442068607617 6.55203912155353 8.69953786751901 3.7514 0.00283361847733098 3.7408 3.929 -0.00208269836431982 0.177599999999998 -0.810023924783754 -0.51680977577563 -0.394626502009191 0.165281862767146 FALSE FALSE 0.0164981373070782 0.00106553010122536 0.0539267015706806 Down
2010-08-24 3.85 3.942 3.79 3.84 3365500 3.84 -0.381398768495543 medium -608.7 low 44.6504760043888 49.6497033622221 43.0976642406686 -0.100689974346093 0.036030067779287 -4.99922735783329 1.55281176372024 3.7548 0.000906328304099939 3.7514 3.9155 -0.0034359888012217 0.160699999999998 -0.773003286067431 -0.56804847783399 -0.0457031423191681 0.0991442199046269 FALSE FALSE 0.0539267015706806 0.0164981373070782 -0.0461997019374068 Up
2010-08-25 3.832 3.996 3.712 3.98 2516500 3.98 -0.252265636606745 medium -583.535 low 48.8271058254155 44.6504760043888 49.6497033622221 0.0935405441280423 -0.0165680252066232 4.17662982102663 -0.822597536806661 3.7948 0.0106530307872589 3.7548 3.9073 -0.00209424083769633 0.112499999999998 -0.445920748102369 -0.543622931887666 -0.423132144274649 -0.0429990518405412 FALSE FALSE -0.0461997019374068 0.0539267015706806 0.0364583333333334 Down
2010-08-26 3.978 4.054 3.92 3.95 2169000 3.95 -0.138088615140076 low -605.225 low 47.9914000247296 48.8271058254155 44.6504760043888 -0.0171156120470039 0.0748239284170772 -0.835705800685815 3.34092402034081 3.8378 0.0113312954569411 3.7948 3.9013 -0.00153558723415152 0.0634999999999977 -0.247016899128194 -0.484301725335772 -0.446052016688205 -0.109121972367701 FALSE FALSE 0.0364583333333334 -0.0461997019374068 -0.00753768844221101 Down
2010-08-27 3.95 3.974 3.9 3.94 1898000 3.94 -0.124942369755648 low -624.205 low 47.6983382927023 47.9914000247296 48.8271058254155 -0.00610654683706483 -0.0231176415974587 -0.293061732027326 -1.12876753271314 3.8654 0.00719162019907228 3.8378 3.8989 -0.000615179555532817 0.0334999999999979 -0.109185505787057 -0.409278481426029 -0.557983659529329 -0.154910131401511 FALSE FALSE -0.00753768844221101 0.0364583333333334 -0.00253164556962031 Up
2010-08-30 3.94 4.038 3.922 3.974 3664000 3.974 0.9304531085353 high -587.565 low 48.842193897217 47.6983382927023 47.9914000247296 0.0239810367710364 0.0177280486097278 1.14385560451463 0.850793872487301 3.8872 0.00563977854814515 3.8654 3.8884 -0.00269306727538524 0.00119999999999809 0.0693979159315017 -0.313543201954523 -1.63559641393105 -0.233912320867543 FALSE FALSE -0.00253164556962031 -0.00753768844221101 0.00862944162436555 Down
2010-08-31 3.932 3.958 3.866 3.896 1005500 3.896 -0.725573144104803 low -597.62 low 46.3384079653532 48.842193897217 47.6983382927023 -0.0512627654919165 -0.0285110629851267 -2.50378593186375 -1.35993032734912 3.8938 0.001697880222268 3.8872 3.8637 -0.00635222713712585 -0.0301000000000022 0.0488879031862011 -0.241056980926378 -0.295542199935006 -0.231184157641722 FALSE TRUE 0.00862944162436555 -0.00253164556962031 -0.019627579265224 Up
2010-09-01 3.924 4.138 3.92 4.09 2474500 4.09 1.460964694182 medium -572.875 low 52.8169837389279 46.3384079653532 48.842193897217 0.13981006379025 0.0813802477848445 6.47857577357468 3.97478984171094 3.9274 0.00862910267604929 3.8938 3.8556 -0.00209643605870004 -0.0718000000000023 0.42748663192913 -0.107348258355276 7.74422104586787 -0.554676832246306 FALSE FALSE -0.019627579265224 0.00862944162436555 0.0497946611909651 Up
2010-09-02 4.074 4.248 4.062 4.212 2435500 4.212 -0.0157607597494443 medium -548.52 low 56.383237176333 52.8169837389279 46.3384079653532 0.0675209598305157 0.21677113332185 3.56625343740515 10.0448292109798 3.9728 0.0115598105616946 3.9274 3.8617 0.00158211432721236 -0.111100000000002 0.962575706177726 0.106636534551324 1.25170949050239 -1.9933699548101 FALSE FALSE 0.0497946611909651 -0.019627579265224 0.0298288508557457 Down
2010-09-03 4.174 4.26 4.132 4.21 2173000 4.21 -0.107780743173886 medium -570.25 low 56.3081004571443 56.383237176333 52.8169837389279 -0.00133260740162493 0.0660983734980558 -0.0751367191887553 3.4911167182164 4.0118 0.0098167539267016 3.9728 3.8763 0.00378071833648375 -0.135500000000003 1.36165070122463 0.357639367885985 0.414590761522103 2.35381648879309 FALSE FALSE 0.0298288508557457 0.0497946611909651 -0.000474833808167089 Down
2010-09-07 4.122 4.2 4.1 4.108 1217000 4.108 -0.439944776806259 low -582.42 low 52.467925807656 56.3081004571443 56.383237176333 -0.0681993286633955 -0.0694410531348578 -3.84017464948828 -3.91531136867703 4.02 0.00204397028765131 4.0118 3.8857 0.00242499290560582 -0.134300000000002 1.45290667678699 0.576692829666186 0.067018638098811 0.612498179590888 FALSE TRUE -0.000474833808167089 0.0298288508557457 -0.024228028503563 Up
2010-09-08 4.132 4.19 4.12 4.18 1442000 4.18 0.184880854560394 low -568 low 54.8107117463075 52.467925807656 56.3081004571443 0.0446517734899606 -0.0265927761490802 2.34278593865152 -1.49738871083676 4.054 0.00845771144278624 4.02 3.9044 0.00481251769307974 -0.149600000000003 1.64907898856035 0.791170061445019 0.135020586598982 0.371908962181793 TRUE FALSE -0.024228028503563 -0.000474833808167089 0.0175267770204479 Down
2010-09-09 4.2 4.21 4.138 4.142 1881000 4.142 0.304438280166435 medium -586.81 low 53.3170651233469 54.8107117463075 52.467925807656 -0.0272509984886533 0.0161839695894167 -1.49364662296064 0.849139315690877 4.0702 0.00399605328071052 4.054 3.9325 0.00719700850322708 -0.137700000000004 1.70735037829579 0.974406124815173 0.0353357177792397 0.231601361451274 FALSE FALSE 0.0175267770204479 -0.024228028503563 -0.00909090909090894 Down
2010-09-10 4.15 4.186 3.952 4.034 1933000 4.034 0.0276448697501329 medium -606.14 low 49.2123644423904 53.3170651233469 54.8107117463075 -0.076986620915094 -0.102139657113544 -4.10470068095648 -5.59834730391712 4.0786 0.00206378064959952 4.0702 3.9582 0.00653528289891939 -0.120400000000003 1.52062050409352 1.08364900067084 -0.109368221412561 0.112112263124773 FALSE FALSE -0.00909090909090894 0.0175267770204479 -0.0260743602124579 Up
